PLAYER_NAME,PLAYER_ID
AJ Green,1631260
AJ Griffin,1631100
Aaron Gordon,203932
Aaron Holiday,1628988
Aaron Nesmith,1630174
Aaron Wiggins,1630598
Admiral Schofield,1629678
Al Horford,201143
Alec Burks,202692
Aleksej Pokusevski,1630197
Alex Caruso,1627936
Alex Len,203458
Alperen Sengun,1630578
Amir Coffey,1629599
Andre Drummond,203083
Andrew Nembhard,1629614
Andrew Wiggins,203952
Anfernee Simons,1629014
Anthony Davis,203076
Anthony Edwards,1630162
Anthony Gill,1630264
Anthony Lamb,1630237
Austin Reaves,1630559
Austin Rivers,203085
Ayo Dosunmu,1630245
Bam Adebayo,1628389
Ben Simmons,1627732
Bennedict Mathurin,1631097
Bismack Biyombo,202687
Blake Griffin,201933
Blake Wesley,1631104
Boban Marjanovic,1626246
Bobby Portis,1626171
Bojan Bogdanovic,202711
Bol Bol,1629626
Bones Hyland,1630538
Bradley Beal,203078
Brandon Clarke,1629634
Brandon Ingram,1627742
Brook Lopez,201572
Bruce Brown,1628971
Bruno Fernando,1628981
Bryce McGowens,1631121
Bryn Forbes,1627854
Buddy Hield,1627741
CJ McCollum,203468
Cade Cunningham,1630595
Caleb Houstan,1631216
Caleb Martin,1628997
Cam Reddish,1629629
Cam Thomas,1630560
Cameron Johnson,1629661
Cameron Payne,1626166
Caris LeVert,1627747
Cedi Osman,1626224
Charles Bassey,1629646
Chet Holmgren,1631096
Chimezie Metu,1629002
Chris Boucher,1628449
Chris Duarte,1630537
Chris Paul,101108
Christian Braun,1631128
Christian Koloko,1631132
Christian Wood,1626174
Chuma Okeke,1629643
Clint Capela,203991
Coby White,1629632
Cody Martin,1628998
Cody Zeller,203469
Cole Anthony,1630175
Cole Swider,1631306
Collin Gillespie,1631221
Collin Sexton,1629012
Corey Kispert,1630557
Cory Joseph,202709
D'Angelo Russell,1626156
DaQuan Jeffries,1629610
Daishen Nix,1630227
Dalano Banton,1630625
Dalen Terry,1631207
Damian Jones,1627745
Damian Lillard,203081
Damion Lee,1627814
Daniel Gafford,1629655
Daniel Theis,1628464
Danilo Gallinari,201568
Dario Saric,203967
Darius Bazley,1629647
Darius Garland,1629636
David Roddy,1631223
Davion Mitchell,1630558
Davis Bertans,202722
Davon Reed,1628432
Day'Ron Sharpe,1630549
De'Aaron Fox,1628368
De'Andre Hunter,1629631
De'Anthony Melton,1629001
DeAndre Jordan,201599
DeMar DeRozan,201942
Dean Wade,1629731
Deandre Ayton,1629028
Dejounte Murray,1627749
Delon Wright,1626153
Deni Avdija,1630166
Derrick Rose,201565
Derrick White,1628401
Desmond Bane,1630217
Devin Booker,1626164
Devin Vassell,1630170
Dewayne Dedmon,203473
Dillon Brooks,1628415
Domantas Sabonis,1627734
Dominick Barlow,1631230
Donovan Mitchell,1628378
Donte DiVincenzo,1628978
Dorian Finney-Smith,1627827
Doug McDermott,203926
Draymond Green,203110
Drew Eubanks,1629234
Duncan Robinson,1629130
Dwight Powell,203939
Dylan Windler,1629685
Dyson Daniels,1630700
Edmond Sumner,1628410
Eric Gordon,201569
Eugene Omoruyi,1630647
Evan Fournier,203095
Evan Mobley,1630596
Frank Kaminsky,1626163
Frank Ntilikina,1628373
Franz Wagner,1630532
Fred VanVleet,1627832
Furkan Korkmaz,1627788
Gabe Vincent,1629216
Garrett Temple,202066
Garrison Mathews,1629726
Gary Harris,203914
Gary Payton II,1627780
George Hill,201588
Georges Niang,1627777
Giannis Antetokounmpo,203507
Goga Bitadze,1629048
Goran Dragic,201609
Gordon Hayward,202330
Gorgui Dieng,203476
Grant Williams,1629684
Grayson Allen,1628960
Hamidou Diallo,1628977
Harrison Barnes,203084
Haywood Highsmith,1629312
Ibou Badji,1630641
Immanuel Quickley,1630193
Isaac Okoro,1630171
Isaiah Hartenstein,1628392
Isaiah Jackson,1630543
Isaiah Joe,1630198
Isaiah Livers,1630587
Isaiah Roby,1629676
Isaiah Stewart,1630191
Ivica Zubac,1627826
JT Thor,1630550
Ja Morant,1629630
JaMychal Green,203210
JaVale McGee,201580
Jabari Walker,1631133
Jack White,1631298
Jacob Gilyard,1631367
Jaden Hardy,1630702
Jaden Ivey,1631093
Jaden McDaniels,1630183
Jaden Springer,1630531
Jae Crowder,203109
Jae'Sean Tate,1630256
Jake LaRavia,1631222
Jakob Poeltl,1627751
Jalen Brunson,1628973
Jalen Duren,1631105
Jalen Green,1630224
Jalen Johnson,1630552
Jalen McDaniels,1629667
Jalen Smith,1630188
Jalen Suggs,1630591
Jalen Williams,1631114
Jamal Cain,1631288
Jamal Murray,1627750
James Bouknight,1630547
James Harden,201935
James Johnson,201949
James Wiseman,1630164
Jared Rhoden,1631197
Jarred Vanderbilt,1629020
Jarrett Allen,1628386
Javonte Green,1629750
Jaxson Hayes,1629637
Jaylen Brown,1627759
Jaylen Nowell,1629669
Jaylin Williams,1631119
Jayson Tatum,1628369
Jeff Green,201145
Jerami Grant,203924
Jeremiah Robinson-Earl,1630526
Jeremy Sochan,1631110
Jericho Sims,1630579
Jevon Carter,1628975
Jock Landale,1629111
Joe Harris,203925
Joe Ingles,204060
Joel Embiid,203954
John Collins,1628381
John Konchar,1629723
John Wall,202322
Johnny Davis,1631098
Johnny Juzang,1630548
Jonathan Isaac,1628371
Jonathan Kuminga,1630228
Jordan Clarkson,203903
Jordan Goodwin,1630692
Jordan McLaughlin,1629162
Jordan Nwora,1629670
Jordan Poole,1629673
Jose Alvarado,1630631
Josh Christopher,1630528
Josh Giddey,1630581
Josh Green,1630182
Josh Hart,1628404
Josh Minott,1631169
Josh Okogie,1629006
Josh Richardson,1626196
Jrue Holiday,201950
Juan Toscano-Anderson,1629308
Julian Champagnie,1630577
Julius Randle,203944
Justin Champagnie,1630551
Justin Holiday,203200
Justin Jackson,1628382
Justise Winslow,1626159
KJ Martin,1630231
KZ Okpala,1629644
Kai Jones,1630539
Karl-Anthony Towns,1626157
Kawhi Leonard,202695
Keegan Murray,1631099
Keita Bates-Diop,1628966
Keldon Johnson,1629640
Kelly Olynyk,203482
Kendall Brown,1631112
Kendrick Nunn,1629134
Kennedy Chandler,1631113
Kenrich Williams,1629026
Kentavious Caldwell-Pope,203484
Keon Ellis,1631165
Keon Johnson,1630553
Kessler Edwards,1630556
Kevin Durant,201142
Kevin Huerter,1628989
Kevin Love,201567
Kevon Harris,1630284
Kevon Looney,1626172
Khem Birch,203920
Khris Middleton,203114
Killian Hayes,1630165
Klay Thompson,202691
Kris Dunn,1627739
Kyle Anderson,203937
Kyle Kuzma,1628398
Kyle Lowry,200768
Kyrie Irving,202681
LaMelo Ball,1630163
Lamar Stevens,1630205
Landry Shamet,1629013
Lauri Markkanen,1628374
LeBron James,2544
Lindy Waters III,1630322
Lonzo Ball,1628366
Luguentz Dort,1629652
Luka Garza,1630568
Luka Samanic,1629677
Luke Kennard,1628379
Luke Kornet,1628436
Malachi Flynn,1630201
Malaki Branham,1631103
Malcolm Brogdon,1627763
Malik Beasley,1627736
Malik Monk,1628370
Mamadi Diakite,1629603
MarJon Beauchamp,1630699
Marcus Smart,203935
Mark Williams,1631109
Markelle Fultz,1628365
Markieff Morris,202693
Mason Plumlee,203486
Matisse Thybulle,1629680
Matt Ryan,1630346
Matthew Dellavedova,203521
Max Christie,1631108
Max Strus,1629622
Maxi Kleber,1628467
Micah Potter,1630695
Mikal Bridges,1628969
Mike Conley,201144
Mike Muscala,203488
Miles McBride,1630540
Mitchell Robinson,1629011
Mo Bamba,1628964
Monte Morris,1628420
Montrezl Harrell,1626149
Moritz Wagner,1629021
Moses Brown,1629650
Moses Moody,1630541
Myles Turner,1626167
Naji Marshall,1630230
Nassir Little,1629642
Nathan Knight,1630233
Naz Reid,1629675
Neemias Queta,1629674
Nerlens Noel,203457
Nick Richards,1630208
Nickeil Alexander-Walker,1629638
Nicolas Batum,201587
Noah Vonleh,203943
Norman Powell,1626181
OG Anunoby,1628384
Obi Toppin,1630167
Ochai Agbaji,1630534
Onyeka Okongwu,1630168
Orlando Robinson,1631115
Oshae Brissett,1629052
Ousmane Dieng,1631172
PJ Dozier,1628408
Paolo Banchero,1631094
Pascal Siakam,1627783
Pat Connaughton,1626192
Patrick Beverley,201976
Patrick Williams,1630172
Paul George,202331
Paul Reed,1630194
Payton Pritchard,1630202
Peyton Watson,1631212
Precious Achiuwa,1630173
Quentin Grimes,1629656
RJ Barrett,1629628
Raul Neto,203526
Reggie Jackson,202704
Richaun Holmes,1626158
Ricky Rubio,201937
Robert Covington,203496
Robin Lopez,201577
Rodney McGruder,203585
Romeo Langford,1629641
Royce O'Neale,1626220
Rudy Gay,200752
Rudy Gobert,203497
Rui Hachimura,1629060
Russell Westbrook,201566
Ryan Arcidiacono,1627853
Ryan Rollins,1631157
Saben Lee,1630240
Saddiq Bey,1630180
Sam Hauser,1630573
Sam Merrill,1630241
Sandro Mamukelashvili,1630572
Scottie Barnes,1630567
Serge Ibaka,201586
Seth Curry,203552
Shaedon Sharpe,1631101
Shai Gilgeous-Alexander,1628983
Shake Milton,1629003
Simone Fontecchio,1631323
Spencer Dinwiddie,203915
Stanley Johnson,1626169
Stephen Curry,201939
Steven Adams,203500
Taj Gibson,201959
Talen Horton-Tucker,1629659
Tari Eason,1631106
Taurean Prince,1627752
Terance Mann,1629611
Terence Davis,1629056
Terrence Ross,203082
Terry Rozier,1626179
Terry Taylor,1630678
Thaddeus Young,201152
Thanasis Antetokounmpo,203648
Theo Maledon,1630177
Theo Pinson,1629033
Thomas Bryant,1628418
Tobias Harris,202699
Torrey Craig,1628470
Trae Young,1629027
Tre Jones,1630200
Tre Mann,1630544
Trendon Watford,1630570
Trent Forrest,1630235
Trey Lyles,1626168
Ty Jerome,1629660
Tyler Herro,1629639
